cntry,gndr,agea,atncrse,bthcld,eisced_grouped,happy,eisced,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
AT,Mujer,41,Sí,No,ISCED 7,4,7,4,3,1,3,2,2,4,2,3,3,1,3,2,1,4,2,2,1,2,3,2
AT,Mujer,76,No,Sí,ISCED 1-4,3,3,3,4,1,3,1,3,5,1,4,3,1,1,3,2,4,1,1,1,1,3,3
AT,Hombre,18,No,No,ISCED 1-4,1,3,2,3,1,2,2,1,4,3,4,1,2,1,2,2,1,2,1,1,1,1,1
AT,Mujer,32,Sí,No,ISCED 5,4,5,2,5,2,3,2,4,3,5,3,2,3,2,3,4,3,3,3,2,1,3,3
AT,Hombre,78,No,Sí,ISCED 5,2,5,3,4,2,2,2,5,3,3,2,4,2,2,2,3,6,2,2,2,2,2,4
AT,Mujer,29,No,No,ISCED 1-4,3,3,2,3,3,3,2,1,4,4,4,2,3,3,3,3,3,3,4,2,2,4,2
AT,Mujer,54,No,Sí,ISCED 1-4,4,3,3,6,1,3,1,3,2,2,2,2,2,1,4,1,2,2,2,1,1,1,2
AT,Mujer,70,No,Sí,ISCED 1-4,2,3,3,4,3,3,3,3,3,3,4,4,4,3,3,2,4,3,3,3,3,5,5
AT,Hombre,57,No,Sí,ISCED 1-4,2,3,2,3,2,2,2,2,3,2,2,2,2,2,3,2,3,2,3,2,2,2,2
AT,Mujer,78,No,Sí,ISCED 1-4,3,3,2,5,1,2,1,1,1,1,1,1,1,1,1,3,6,1,1,1,1,3,1
AT,Mujer,42,No,Sí,ISCED 7,2,7,3,5,2,5,2,6,3,2,2,2,3,3,4,5,6,2,3,1,2,2,4
AT,Mujer,73,No,Sí,ISCED 1-4,4,3,4,5,2,3,2,4,3,2,3,3,2,2,4,2,5,2,2,2,1,1,4
AT,Mujer,60,No,Sí,ISCED 1-4,1,2,1,6,3,1,1,2,1,1,1,1,2,1,3,3,5,4,2,1,1,1,3
AT,Mujer,39,No,Sí,ISCED 1-4,2,3,3,4,3,3,2,4,3,2,3,3,3,2,4,2,4,2,3,1,1,1,2
AT,Hombre,72,No,Sí,ISCED 1-4,3,3,3,5,2,2,2,4,3,2,4,3,2,2,4,2,4,2,1,1,1,1,4
AT,Hombre,65,No,No,ISCED 1-4,3,3,2,5,1,1,1,2,5,2,4,1,1,2,4,2,2,2,2,1,1,5,1
AT,Mujer,26,No,No,ISCED 5,3,5,2,3,3,2,3,2,3,2,4,3,2,3,2,2,3,3,3,1,2,2,3
AT,Mujer,60,Sí,Sí,ISCED 1-4,3,4,2,4,2,3,1,3,4,3,2,3,1,1,1,2,5,2,2,1,1,2,3
AT,Hombre,51,No,Sí,ISCED 1-4,4,3,2,4,3,2,1,4,5,3,4,1,1,2,2,1,3,3,3,1,1,1,3
AT,Mujer,60,No,Sí,ISCED 1-4,4,3,2,3,2,2,1,4,2,2,3,2,3,2,1,1,5,3,2,2,2,3,3
AT,Mujer,36,Sí,Sí,ISCED 5,2,5,3,4,3,2,3,3,4,2,5,3,2,2,2,2,3,3,2,2,2,2,2
AT,Hombre,55,No,No,ISCED 1-4,6,3,5,6,3,4,1,6,2,2,2,4,1,2,5,1,6,1,4,1,1,1,4
AT,Mujer,72,No,Sí,ISCED 1-4,4,2,1,3,1,2,1,2,2,2,2,1,1,1,1,1,3,4,2,1,1,2,1
AT,Mujer,27,Sí,No,ISCED 5,2,5,4,4,3,1,1,3,6,2,4,1,1,1,1,2,4,2,2,1,2,1,2
AT,Mujer,63,No,Sí,ISCED 5,2,5,4,4,4,3,1,2,2,1,1,3,1,2,2,1,4,1,1,1,1,2,3
AT,Mujer,49,No,Sí,ISCED 1-4,2,2,2,4,1,1,2,3,4,2,2,2,4,2,3,2,4,2,3,1,1,3,3
AT,Hombre,69,No,Sí,ISCED 1-4,3,3,3,4,3,2,2,4,4,3,4,4,3,3,3,3,5,3,3,3,3,3,4
AT,Mujer,36,No,Sí,ISCED 1-4,3,3,3,3,2,3,2,3,3,2,3,3,3,3,3,2,4,3,3,2,2,2,3
AT,Mujer,32,Sí,No,ISCED 7,2,7,1,4,1,2,2,3,4,1,4,1,1,2,1,2,4,4,1,1,1,4,1
AT,Hombre,32,Sí,Sí,ISCED 1-4,4,3,4,4,2,3,3,4,3,3,3,3,3,3,3,4,4,3,2,3,3,4,3
AT,Mujer,56,No,Sí,ISCED 1-4,3,3,3,5,1,3,3,4,3,2,4,2,2,1,4,5,5,1,2,1,1,1,2
AT,Hombre,24,No,No,ISCED 1-4,4,3,2,2,3,2,2,2,5,3,5,2,2,3,2,3,2,4,3,2,2,5,1
AT,Mujer,46,Sí,Sí,ISCED 6,3,6,1,3,1,1,1,2,5,1,5,2,1,2,2,3,4,5,1,1,1,2,3
AT,Mujer,59,No,Sí,ISCED 1-4,1,3,2,3,2,4,5,1,6,2,6,1,1,1,3,1,1,6,6,1,1,1,1
AT,Mujer,59,No,Sí,ISCED 5,5,5,2,2,4,2,3,4,5,5,5,3,2,3,3,2,4,4,4,2,2,4,2
AT,Mujer,50,Sí,No,ISCED 1-4,4,3,1,1,5,1,1,2,4,2,3,2,1,2,1,4,5,1,1,1,2,3,4
AT,Hombre,69,No,Sí,ISCED 7,1,7,4,6,1,5,1,5,6,2,5,2,2,1,4,2,5,5,4,2,2,5,2
AT,Hombre,74,No,Sí,ISCED 1-4,6,3,2,5,2,4,2,4,2,3,2,6,2,4,5,1,5,2,3,1,2,2,5
AT,Mujer,79,No,No,ISCED 1-4,1,2,2,4,2,3,2,3,3,2,3,3,2,2,3,2,4,2,2,1,1,3,3
AT,Mujer,26,No,No,ISCED 1-4,2,3,1,6,1,2,1,4,1,2,4,4,6,2,2,1,4,1,1,1,1,5,5
AT,Hombre,70,No,Sí,ISCED 1-4,1,4,2,4,2,4,2,4,4,2,6,6,1,2,5,2,6,1,5,2,5,3,3
AT,Hombre,69,No,Sí,ISCED 1-4,1,2,3,5,3,2,5,5,5,3,2,2,2,2,6,2,3,3,2,3,4,3,2
AT,Mujer,50,No,Sí,ISCED 1-4,3,3,3,4,3,4,3,4,3,3,3,3,3,2,4,2,3,3,2,2,2,1,2
AT,Hombre,44,No,No,ISCED 7,2,7,1,2,1,2,2,1,5,1,2,1,1,1,1,5,2,4,5,1,1,4,1
AT,Mujer,54,No,Sí,ISCED 1-4,4,2,5,5,4,5,2,5,5,6,2,3,5,2,4,2,5,1,3,1,4,1,4
AT,Mujer,52,Sí,Sí,ISCED 1-4,5,3,2,3,4,4,3,4,4,4,3,4,4,4,4,3,3,5,4,4,4,3,4
AT,Hombre,33,No,Sí,ISCED 1-4,3,3,2,4,2,1,1,4,5,1,2,1,1,2,1,3,2,2,2,1,1,3,2
AT,Hombre,39,No,Sí,ISCED 1-4,3,4,3,5,2,2,2,4,2,2,4,3,2,2,2,2,4,2,2,1,1,1,3
AT,Mujer,61,No,Sí,ISCED 1-4,2,4,2,5,4,4,3,3,3,5,3,3,2,5,3,3,5,5,4,3,3,4,2
AT,Mujer,34,Sí,No,ISCED 5,7,5,1,3,1,1,2,2,3,1,3,2,1,1,1,1,2,1,1,1,2,1,1
AT,Mujer,31,Sí,No,ISCED 7,1,7,2,4,2,3,3,4,2,3,5,2,3,2,3,5,5,4,5,2,1,3,3
AT,Hombre,62,No,Sí,ISCED 1-4,5,3,2,4,2,4,3,2,2,2,2,4,2,2,4,4,3,2,4,2,2,2,4
AT,Mujer,24,No,No,ISCED 1-4,1,3,1,6,1,6,1,1,6,1,6,1,1,2,6,2,2,2,6,2,2,2,2
AT,Hombre,74,No,Sí,ISCED 1-4,3,3,2,2,1,2,1,3,2,3,4,3,1,2,2,2,4,2,2,1,2,3,3
AT,Hombre,35,No,Sí,ISCED 1-4,3,2,2,4,1,1,1,4,3,2,2,3,2,2,1,1,4,2,2,2,2,2,3
AT,Hombre,61,No,Sí,ISCED 1-4,3,2,2,4,3,2,2,5,5,3,4,3,2,2,2,2,4,2,4,2,2,4,4
AT,Hombre,26,No,No,ISCED 1-4,2,3,2,3,2,3,3,4,4,3,3,1,1,2,2,1,4,4,3,1,2,2,2
AT,Mujer,45,No,No,ISCED 7,3,7,2,4,2,2,2,1,4,2,3,1,3,2,2,2,1,3,4,1,1,3,1
AT,Mujer,49,Sí,Sí,ISCED 6,2,6,2,4,2,2,2,2,1,1,4,2,1,2,2,2,6,2,2,2,2,2,5
AT,Mujer,86,No,Sí,ISCED 1-4,2,2,6,6,3,5,1,5,1,5,1,5,1,2,6,1,6,1,1,1,1,1,1
AT,Hombre,23,Sí,No,ISCED 1-4,5,2,4,4,3,4,2,4,4,3,3,3,4,3,5,2,5,3,3,1,2,2,3
AT,Hombre,68,No,Sí,ISCED 1-4,2,3,2,2,1,2,1,3,4,1,3,2,2,2,2,2,4,2,2,1,1,1,2
AT,Hombre,67,No,Sí,ISCED 5,4,5,1,3,1,2,2,4,4,2,3,1,2,2,4,3,5,3,3,1,1,2,3
AT,Mujer,69,No,No,ISCED 1-4,6,4,2,6,1,5,5,2,5,2,2,4,1,2,5,4,3,5,6,1,1,6,2
AT,Hombre,41,No,Sí,ISCED 1-4,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,1,1,2,2,1
AT,Hombre,18,Sí,No,ISCED 1-4,3,2,1,2,2,1,2,4,3,1,5,2,1,4,1,2,3,2,1,1,3,2,2
AT,Mujer,85,No,Sí,ISCED 1-4,3,2,2,4,2,4,1,4,4,2,2,2,2,1,4,1,4,1,3,1,2,1,2
AT,Hombre,21,Sí,No,ISCED 1-4,4,4,1,2,1,2,2,1,6,1,4,1,1,2,2,2,2,3,2,2,2,3,1
AT,Hombre,75,No,Sí,ISCED 1-4,3,3,1,4,3,6,3,1,6,1,2,1,1,2,5,2,4,1,2,1,2,3,1
AT,Mujer,51,No,Sí,ISCED 1-4,1,3,3,5,2,3,2,5,5,3,2,3,2,2,3,2,6,2,3,2,2,2,5
AT,Mujer,48,Sí,No,ISCED 7,4,7,2,4,1,2,2,4,5,1,4,3,1,1,3,2,5,3,4,1,1,4,3
AT,Mujer,71,No,Sí,ISCED 1-4,1,2,1,6,1,2,1,4,6,2,1,4,3,1,2,1,6,1,3,1,1,2,3
AT,Mujer,77,No,No,ISCED 5,5,5,2,5,2,2,1,2,3,1,3,2,1,2,3,2,4,2,3,1,1,3,2
AT,Hombre,40,Sí,No,ISCED 1-4,2,4,3,3,1,4,1,3,4,1,3,1,1,1,3,2,2,2,2,2,2,4,2
AT,Hombre,33,No,Sí,ISCED 1-4,2,3,2,3,2,2,2,3,4,2,2,2,2,1,2,2,3,3,2,2,1,3,3
AT,Hombre,60,No,Sí,ISCED 1-4,9,4,3,5,2,2,3,3,2,3,3,3,2,3,2,3,4,2,2,3,2,4,2
AT,Hombre,46,No,Sí,ISCED 1-4,3,3,2,3,2,2,2,2,3,3,3,2,2,3,2,2,3,3,3,2,3,3,2
AT,Mujer,78,No,Sí,ISCED 7,6,7,1,5,2,2,1,2,2,3,3,4,2,2,2,1,5,3,2,1,1,1,3
AT,Mujer,26,No,No,ISCED 5,2,5,2,2,2,1,1,3,2,4,5,1,1,3,1,1,3,2,1,1,1,3,2
AT,Mujer,40,No,Sí,ISCED 1-4,4,3,1,2,2,1,3,4,3,3,3,3,2,3,1,1,4,2,2,2,2,3,3
AT,Hombre,47,No,No,ISCED 1-4,1,1,1,4,2,1,1,3,4,3,5,2,2,2,2,2,2,2,2,2,2,2,2
AT,Mujer,34,Sí,Sí,ISCED 7,4,7,2,2,3,3,3,1,4,3,3,2,2,2,4,3,3,3,1,2,4,3,3
AT,Mujer,65,No,Sí,ISCED 6,1,6,1,5,1,3,2,3,3,1,2,2,2,1,3,3,5,1,3,1,1,1,1
AT,Hombre,49,No,Sí,ISCED 1-4,7,3,4,4,4,4,3,4,3,4,4,3,4,3,4,3,4,3,3,3,3,4,3
AT,Mujer,58,No,Sí,ISCED 1-4,3,3,1,5,2,1,1,5,1,3,3,5,2,1,3,2,6,2,1,2,1,4,2
AT,Hombre,38,No,Sí,ISCED 1-4,6,4,4,4,3,3,5,4,5,4,4,5,5,3,4,4,5,4,4,4,5,4,4
AT,Hombre,17,No,No,ISCED 1-4,2,2,2,3,2,2,2,3,4,1,3,2,1,1,1,1,3,1,1,1,1,1,1
AT,Mujer,24,No,No,ISCED 5,2,5,3,4,2,3,2,4,5,3,5,2,3,3,3,3,4,3,3,2,2,4,2
AT,Mujer,28,No,Sí,ISCED 1-4,2,3,2,2,2,2,1,2,3,3,2,1,1,1,1,1,3,1,1,2,1,2,2
AT,Mujer,87,No,Sí,ISCED 1-4,4,2,5,5,2,4,1,5,4,2,1,3,3,1,4,1,6,2,2,2,1,2,2
AT,Mujer,60,No,Sí,ISCED 1-4,4,3,3,5,2,4,2,4,2,2,4,3,2,2,4,2,5,2,1,1,1,1,3
AT,Mujer,79,No,Sí,ISCED 1-4,6,3,3,5,3,4,2,4,4,2,2,3,1,2,4,2,6,2,2,1,2,2,3
AT,Hombre,50,Sí,Sí,ISCED 7,2,7,3,2,1,1,1,1,2,2,1,2,1,3,2,2,1,2,2,1,1,2,2
AT,Mujer,61,No,Sí,ISCED 5,1,5,2,6,1,3,1,3,2,2,1,3,1,1,4,1,6,3,4,1,1,2,3
AT,Hombre,82,No,Sí,ISCED 1-4,2,2,3,5,1,3,2,4,3,2,2,3,2,1,4,2,5,2,3,1,2,2,3
AT,Hombre,65,No,No,ISCED 1-4,4,3,3,5,3,3,1,1,1,1,1,1,1,3,4,1,4,1,1,1,1,2,2
AT,Hombre,30,No,No,ISCED 1-4,6,3,3,3,3,3,4,3,2,3,3,3,3,3,3,1,2,3,2,2,3,3,3
AT,Hombre,55,No,Sí,ISCED 5,8,5,2,5,1,1,1,3,1,1,1,3,3,1,3,1,5,1,4,1,1,2,3
AT,Hombre,56,No,Sí,ISCED 1-4,3,3,2,6,5,2,1,4,2,5,4,5,1,1,1,2,3,1,2,2,1,3,1
AT,Mujer,34,Sí,No,ISCED 5,4,5,3,4,3,3,2,2,2,2,3,4,3,3,4,2,6,3,2,3,2,3,5
AT,Hombre,34,Sí,No,ISCED 7,3,7,3,5,1,5,3,4,5,1,1,5,2,1,3,2,5,1,1,1,1,4,3
AT,Mujer,46,Sí,Sí,ISCED 7,1,7,2,6,1,4,2,3,4,1,5,3,2,2,4,2,4,3,3,1,1,3,3
AT,Mujer,27,No,No,ISCED 1-4,1,3,1,6,2,4,1,4,4,1,1,2,1,1,4,2,6,4,4,1,1,1,1
AT,Mujer,30,No,Sí,ISCED 1-4,3,3,4,2,3,3,1,3,3,3,3,2,1,4,3,2,4,2,2,1,4,6,2
AT,Hombre,57,No,Sí,ISCED 1-4,4,3,2,4,2,1,2,1,1,2,1,4,3,1,4,2,5,1,2,1,1,3,1
AT,Mujer,42,No,Sí,ISCED 1-4,3,4,2,5,2,2,2,4,3,3,3,3,2,1,3,2,5,2,2,2,1,1,2
AT,Mujer,90,No,Sí,ISCED 1-4,2,2,3,4,3,3,1,2,2,1,2,2,3,1,3,1,4,2,2,1,1,1,2
AT,Mujer,78,No,Sí,ISCED 1-4,3,2,5,6,1,3,1,5,5,2,6,3,3,1,5,2,6,1,3,1,4,2,4
AT,Hombre,27,Sí,No,ISCED 1-4,1,3,3,3,2,2,4,2,6,3,5,1,1,2,1,2,3,3,2,1,3,2,2
AT,Mujer,77,Sí,No,ISCED 1-4,4,3,2,5,1,1,1,3,3,1,3,2,2,1,2,1,5,2,1,1,1,1,4
AT,Hombre,67,No,Sí,ISCED 1-4,1,3,1,4,1,1,1,2,3,1,2,2,5,1,4,2,4,1,1,1,1,1,2
AT,Mujer,62,No,Sí,ISCED 1-4,1,3,2,3,1,1,3,2,4,3,2,3,2,3,1,3,5,1,3,2,5,3,1
AT,Hombre,66,No,Sí,ISCED 1-4,3,3,2,4,2,2,1,4,2,3,2,3,2,1,3,1,4,2,2,2,2,1,2
AT,Mujer,67,No,No,ISCED 1-4,4,3,2,3,3,4,2,2,2,2,2,2,3,2,3,2,2,2,4,2,2,2,2
AT,Mujer,36,No,Sí,ISCED 5,1,5,2,5,1,2,1,2,2,2,2,3,2,1,3,1,5,1,2,1,1,1,2
AT,Hombre,50,Sí,Sí,ISCED 1-4,3,4,1,4,1,2,3,2,3,3,3,2,1,3,4,4,3,3,3,1,1,3,3
AT,Mujer,52,Sí,Sí,ISCED 5,3,5,3,5,4,4,2,2,3,2,3,3,2,2,2,2,4,5,2,2,2,3,3
AT,Mujer,16,No,No,ISCED 1-4,2,2,2,3,2,2,2,2,4,2,2,1,1,1,2,2,4,2,2,2,1,2,1
AT,Hombre,55,No,No,ISCED 5,4,5,4,4,3,2,2,5,3,1,2,4,3,1,2,1,5,3,2,1,1,1,1
AT,Mujer,74,No,Sí,ISCED 1-4,3,2,6,6,3,6,1,5,1,1,1,6,5,3,6,2,6,1,1,5,1,1,6
AT,Hombre,38,Sí,No,ISCED 1-4,5,3,2,3,2,3,2,2,3,3,4,2,1,2,2,3,2,4,3,2,2,3,2
AT,Mujer,44,Sí,Sí,ISCED 1-4,2,3,3,3,3,3,1,2,2,3,3,3,2,4,4,3,2,2,3,3,3,3,3
AT,Mujer,83,No,Sí,ISCED 1-4,2,2,3,4,2,4,1,5,5,1,2,5,1,2,5,6,4,2,6,2,2,5,5
AT,Mujer,66,No,Sí,ISCED 5,3,5,3,5,1,4,1,6,5,5,3,5,5,3,6,1,6,4,6,5,6,5,6
